,NodeId,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
0,15,0,2,0,5,0,-1,6,7,5,-1
1,17,2,1,3,-1,-1,3,7,1,7,3
2,21,2,-1,3,-1,-1,-1,7,7,-1,2
3,29,0,-1,0,-1,5,7,0,7,6,3
4,35,-1,4,2,6,4,5,1,0,4,1
5,39,0,2,0,5,7,7,-1,4,0,3
6,48,2,0,-1,0,6,2,7,1,1,3
7,50,7,4,3,0,6,3,7,1,7,3
8,56,4,2,-1,5,-1,1,0,3,7,6
9,63,3,5,7,3,2,0,4,5,3,0
10,66,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,79,0,2,0,5,-1,0,6,7,5,3
12,80,0,1,3,7,6,7,1,1,7,3
13,87,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
14,95,0,2,0,5,5,7,6,4,0,3
15,101,-1,-1,3,-1,-1,3,7,7,-1,-1
16,102,2,1,4,7,-1,5,7,1,7,3
17,105,3,-1,6,5,7,6,2,-1,0,3
18,113,3,-1,6,5,7,6,2,7,0,-1
19,116,0,1,2,0,-1,-1,-1,-1,-1,-1
20,118,0,4,2,-1,-1,-1,-1,1,5,-1
21,119,7,4,2,0,6,0,-1,1,2,-1
22,120,0,2,5,5,-1,4,0,6,0,-1
23,122,6,-1,-1,-1,-1,0,4,5,3,4
24,123,0,2,0,5,0,7,6,7,5,7
25,131,-1,4,4,7,-1,5,7,-1,-1,-1
26,132,-1,-1,-1,5,6,1,0,3,6,6
27,134,2,0,-1,0,-1,4,7,-1,7,0
28,150,2,5,7,3,2,0,4,5,3,7
29,153,0,5,7,3,-1,-1,4,5,3,7
30,154,2,5,7,-1,2,0,4,5,3,4
31,164,0,7,-1,-1,-1,-1,-1,2,5,-1
32,172,0,2,5,7,1,1,-1,7,0,6
33,179,2,-1,3,-1,-1,3,7,1,-1,-1
34,181,0,-1,-1,5,7,6,-1,-1,0,-1
35,184,5,-1,2,5,4,5,1,7,4,1
36,185,5,4,-1,6,4,-1,-1,-1,-1,-1
37,194,0,2,-1,5,5,7,0,-1,0,3
38,196,0,2,5,5,1,7,0,7,0,6
39,205,0,2,1,5,7,7,3,4,0,2
40,209,2,0,2,0,6,2,7,1,1,3
41,210,-1,4,-1,-1,-1,-1,-1,-1,-1,-1
42,211,-1,4,2,6,7,-1,5,4,-1,-1
43,213,-1,-1,-1,-1,2,7,4,4,-1,3
44,222,0,2,0,-1,-1,0,3,4,-1,3
45,223,0,2,1,5,5,7,-1,4,6,3
46,240,2,3,-1,-1,6,5,-1,-1,2,2
47,242,3,2,-1,5,5,-1,-1,-1,-1,-1
48,253,0,2,-1,6,0,4,6,7,5,-1
49,255,-1,-1,-1,-1,4,5,1,0,4,1
50,265,-1,4,2,6,-1,5,1,0,4,1
51,267,0,7,0,5,7,0,3,4,-1,5
52,268,5,4,2,6,3,5,1,0,4,1
53,271,2,5,-1,3,2,0,4,5,3,7
54,272,0,-1,-1,2,-1,-1,-1,-1,-1,-1
55,273,-1,-1,2,6,4,5,1,0,4,1
56,275,7,0,2,7,-1,7,7,1,-1,-1
57,285,2,0,-1,-1,-1,-1,-1,-1,7,2
58,311,0,2,3,5,5,7,3,4,0,3
59,335,7,1,3,0,-1,-1,5,1,-1,-1
60,431,2,2,-1,7,6,0,7,-1,7,2
61,448,6,5,7,2,2,0,4,-1,6,-1
62,481,2,5,7,3,2,0,4,7,3,7
63,492,1,5,7,3,2,0,4,5,-1,-1
64,494,0,6,5,4,5,4,3,4,-1,-1
65,496,0,2,3,5,5,7,3,4,0,3
66,499,6,5,7,3,2,0,4,5,3,7
67,511,7,1,-1,0,6,-1,7,1,2,0
68,513,3,-1,0,5,7,6,2,-1,-1,3
69,533,-1,5,-1,3,2,0,4,5,3,7
70,601,2,5,7,3,2,0,4,5,-1,7
71,603,2,7,-1,2,1,4,4,2,6,5
72,662,-1,-1,3,5,7,7,0,4,0,3
73,709,-1,-1,7,3,2,0,4,5,3,0
74,743,-1,-1,-1,-1,-1,5,-1,0,4,1
75,751,-1,4,2,6,4,5,1,7,4,1
76,762,7,1,-1,0,6,5,5,1,-1,0
77,765,0,6,-1,4,5,4,3,4,0,3
78,771,0,1,3,0,6,-1,-1,-1,-1,-1
79,778,5,4,2,6,-1,-1,1,0,4,-1
80,779,-1,-1,-1,1,1,-1,0,-1,0,-1
81,784,-1,1,-1,7,-1,0,-1,1,7,0
82,786,0,6,-1,-1,-1,-1,3,-1,-1,3
83,791,-1,-1,-1,-1,1,-1,-1,-1,6,6
84,804,0,4,2,0,6,5,7,1,2,3
85,819,0,2,5,1,1,7,-1,6,0,-1
86,826,0,4,2,-1,4,5,1,0,4,1
87,845,5,4,2,6,3,-1,-1,-1,-1,-1
88,875,7,0,3,7,6,5,7,1,7,2
89,938,1,3,-1,-1,-1,-1,7,-1,2,2
90,939,4,5,1,5,-1,7,0,5,0,-1
91,987,-1,5,-1,1,1,-1,-1,6,0,3
