,NodeId,clustering0,clustering1,clustering2,clustering3,clustering4,clustering5,clustering6,clustering7,clustering8,clustering9
0,1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1
1,3,0,1,-1,3,1,1,7,-1,-1,-1
2,14,3,4,4,7,-1,-1,7,4,1,4
3,15,3,1,3,3,1,1,1,0,6,-1
4,18,1,7,6,2,7,7,7,5,1,0
5,20,0,2,5,-1,4,6,0,3,2,1
6,27,3,2,-1,4,5,0,-1,-1,5,6
7,34,3,1,3,3,1,1,1,-1,-1,-1
8,38,7,6,4,0,6,6,0,3,7,-1
9,39,4,3,0,0,6,3,4,-1,7,-1
10,43,5,3,-1,0,6,7,6,-1,-1,-1
11,47,-1,7,-1,0,6,7,-1,-1,1,-1
12,54,-1,-1,3,3,1,1,1,0,6,-1
13,55,0,0,4,6,6,7,0,-1,1,2
14,59,7,3,0,0,6,3,4,2,7,5
15,62,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,63,-1,3,0,-1,-1,7,-1,2,7,5
17,71,0,2,4,4,5,0,7,2,5,6
18,72,7,3,0,0,6,3,7,2,-1,-1
19,74,0,1,3,3,-1,1,1,0,6,1
20,77,0,1,4,7,-1,-1,-1,3,-1,5
21,79,3,1,3,3,1,1,1,0,6,1
22,80,7,-1,-1,-1,-1,3,4,4,7,5
23,89,0,2,3,7,-1,5,5,3,1,-1
24,97,0,2,3,7,4,5,5,3,-1,-1
25,99,3,3,1,3,-1,6,7,0,6,-1
26,106,-1,-1,-1,-1,5,6,7,-1,-1,-1
27,110,-1,-1,-1,1,0,2,0,7,0,2
28,117,0,7,0,5,6,5,7,2,1,0
29,118,4,-1,-1,3,4,7,7,-1,-1,1
30,119,6,7,0,0,6,7,6,2,1,3
31,120,6,1,-1,3,6,1,1,0,1,1
32,122,0,3,0,0,6,3,4,2,7,5
33,131,3,-1,3,7,-1,1,1,0,0,1
34,134,-1,-1,-1,-1,-1,1,1,0,6,1
35,141,3,1,3,3,1,1,1,0,6,-1
36,147,0,2,4,4,5,0,7,2,5,6
37,156,3,-1,3,3,1,1,1,0,0,1
38,158,0,1,3,3,1,-1,-1,-1,-1,-1
39,159,3,1,3,-1,1,1,1,0,6,-1
40,160,3,1,3,7,1,1,1,0,0,1
41,162,3,1,3,3,1,1,1,0,6,-1
42,164,0,0,0,6,0,2,0,7,3,2
43,165,3,1,4,3,1,1,-1,-1,6,-1
44,172,2,5,7,2,7,4,2,6,2,7
45,173,3,-1,5,-1,6,2,-1,-1,-1,-1
46,178,-1,-1,3,3,1,1,1,0,6,1
47,181,-1,-1,-1,-1,-1,-1,7,2,-1,1
48,183,-1,-1,-1,3,1,1,7,0,0,1
49,184,2,5,7,2,7,4,7,6,2,7
50,193,-1,-1,-1,-1,-1,1,1,0,0,1
51,197,-1,-1,3,0,7,-1,6,2,1,1
52,198,6,7,-1,0,6,7,6,2,1,3
53,200,0,2,0,3,5,5,5,2,1,0
54,205,3,-1,3,3,1,-1,-1,-1,0,-1
55,210,6,1,0,2,7,7,7,-1,2,-1
56,211,7,-1,-1,-1,6,7,4,4,7,-1
57,213,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
58,215,0,2,4,4,-1,0,7,1,5,6
59,219,7,6,0,0,6,3,0,2,7,5
60,220,0,2,3,7,1,5,5,3,5,1
61,222,5,5,0,-1,7,-1,7,3,2,5
62,232,1,7,6,4,7,7,0,5,1,0
63,236,0,1,-1,-1,-1,1,1,-1,-1,-1
64,242,0,1,3,-1,-1,-1,-1,-1,-1,-1
65,245,3,2,-1,4,6,6,7,2,6,6
66,246,7,3,0,0,6,7,4,2,7,-1
67,248,2,5,-1,0,7,4,7,-1,2,7
68,250,3,1,1,3,1,1,7,2,0,1
69,252,1,5,0,2,6,-1,-1,3,-1,0
70,253,-1,-1,-1,-1,6,-1,7,-1,1,3
71,257,-1,-1,-1,-1,-1,-1,6,2,7,-1
72,259,3,1,3,3,-1,1,1,0,0,1
73,261,3,-1,3,-1,1,1,1,-1,6,-1
74,267,6,7,0,0,6,7,6,2,1,-1
75,269,4,5,-1,2,7,4,0,6,2,-1
76,270,6,7,0,0,6,7,6,2,1,3
77,272,0,7,6,2,7,7,0,5,-1,-1
78,275,-1,3,0,2,7,7,7,3,2,-1
79,285,5,3,0,0,6,7,6,2,-1,5
80,290,0,1,0,3,4,-1,-1,2,-1,-1
81,295,3,1,3,3,1,1,7,0,6,1
82,322,2,-1,7,2,7,4,2,6,2,7
83,333,3,1,3,3,-1,0,7,0,6,0
84,339,4,-1,-1,0,6,7,4,-1,7,5
85,343,-1,7,0,0,6,7,6,-1,-1,-1
86,346,0,2,4,4,5,0,7,2,5,-1
87,353,-1,-1,3,7,1,-1,-1,-1,-1,1
88,366,6,7,0,0,6,7,6,2,1,-1
89,372,0,1,3,3,1,1,1,0,6,1
90,374,-1,-1,-1,-1,-1,4,6,-1,2,-1
91,378,0,2,5,3,4,6,5,3,1,-1
92,387,0,2,4,4,5,0,7,2,5,6
93,401,0,2,4,4,-1,0,7,2,5,-1
94,407,7,3,0,0,6,3,4,2,7,5
95,413,-1,-1,-1,3,7,5,3,-1,-1,0
96,420,6,7,0,0,6,7,6,2,1,3
97,424,-1,5,-1,2,7,-1,2,-1,2,7
98,425,3,-1,3,7,-1,-1,-1,-1,1,-1
99,426,0,2,4,-1,-1,0,7,3,5,6
100,428,6,1,0,3,6,7,6,2,1,-1
101,429,0,2,-1,4,5,-1,7,-1,5,-1
102,432,0,7,2,5,1,5,3,-1,-1,4
103,434,0,-1,3,3,-1,-1,-1,-1,-1,-1
104,435,0,2,4,4,7,6,7,3,1,-1
105,440,0,2,4,4,6,6,7,2,5,-1
106,441,0,4,4,5,2,0,7,4,4,4
107,445,6,7,-1,0,6,7,6,-1,1,3
108,447,3,1,3,3,1,1,1,0,6,1
109,453,-1,1,3,3,1,7,-1,0,-1,-1
110,460,3,1,-1,3,1,1,1,-1,6,1
111,461,0,7,0,3,6,5,-1,-1,1,0
112,464,3,1,-1,3,1,-1,1,-1,-1,1
113,465,4,5,-1,2,7,4,7,6,2,7
114,466,7,-1,0,0,6,7,4,2,7,5
115,468,4,3,0,0,6,-1,-1,-1,-1,-1
116,475,5,-1,-1,-1,3,5,-1,2,1,0
117,477,-1,5,-1,2,-1,4,0,-1,2,-1
118,478,-1,-1,-1,0,6,7,6,-1,1,-1
119,486,-1,5,7,2,7,4,7,6,-1,7
120,487,0,2,4,4,5,0,7,-1,-1,6
121,488,-1,2,4,-1,7,0,4,-1,1,-1
122,489,3,1,-1,3,1,-1,-1,-1,6,-1
123,491,0,1,3,3,-1,1,6,2,6,-1
124,496,5,7,2,5,3,5,5,3,1,-1
125,498,3,1,4,3,1,1,1,-1,6,1
126,502,0,2,6,3,4,7,7,2,5,1
127,504,2,5,7,2,7,4,2,6,2,-1
128,510,2,5,7,2,7,4,2,6,2,7
129,513,2,5,7,2,-1,-1,2,6,2,-1
130,520,6,7,0,3,6,7,7,2,1,0
131,525,6,-1,0,0,6,7,6,2,-1,5
132,527,4,5,-1,2,7,4,7,-1,2,-1
133,531,4,7,6,2,7,7,0,5,1,-1
134,533,-1,-1,-1,-1,-1,-1,-1,-1,7,-1
135,544,3,4,4,3,-1,0,7,4,-1,-1
136,574,0,1,3,3,1,7,1,0,0,-1
137,577,2,5,7,2,-1,4,7,6,2,7
138,580,-1,-1,4,4,5,0,7,6,-1,6
139,582,-1,-1,-1,3,-1,-1,-1,3,-1,5
140,603,0,2,4,4,5,0,7,7,-1,-1
141,615,3,1,3,3,1,1,1,0,0,1
142,621,1,7,6,2,7,-1,-1,-1,-1,-1
143,626,5,3,3,3,6,7,-1,-1,1,1
144,628,3,0,0,7,0,-1,-1,-1,-1,-1
145,634,2,5,7,2,7,4,0,0,2,7
146,637,-1,-1,-1,-1,-1,-1,-1,-1,7,-1
147,638,4,5,7,2,7,4,0,-1,2,7
148,642,3,1,3,7,1,1,1,0,0,1
149,649,0,2,4,4,5,-1,7,-1,-1,-1
150,650,1,7,6,4,7,7,6,5,1,0
151,653,3,7,2,5,1,5,3,0,1,-1
152,656,0,2,5,3,4,6,7,3,2,1
153,660,-1,-1,-1,0,6,7,6,2,1,3
154,674,4,-1,0,-1,-1,4,5,0,2,7
155,677,5,1,6,3,-1,-1,-1,-1,-1,-1
156,691,6,7,0,0,6,7,7,2,1,3
157,694,3,1,3,3,1,1,7,-1,6,1
158,702,-1,-1,0,0,6,7,-1,2,-1,-1
159,706,7,3,0,0,6,7,7,2,7,-1
160,720,0,2,3,7,-1,5,5,3,-1,-1
161,725,-1,2,-1,4,-1,0,7,-1,5,-1
162,741,0,2,5,3,4,-1,5,3,2,-1
163,743,2,5,7,2,7,4,-1,-1,-1,-1
164,744,1,7,6,2,7,-1,-1,-1,-1,-1
165,751,0,1,3,3,6,1,1,0,6,-1
166,753,7,3,0,0,6,3,7,3,7,-1
167,763,3,1,3,3,1,1,1,0,6,-1
168,771,2,-1,7,2,-1,4,7,-1,2,-1
169,778,-1,-1,-1,3,2,7,0,4,4,1
170,779,0,2,4,4,5,0,7,7,5,-1
171,784,7,3,-1,-1,6,-1,4,3,-1,-1
172,790,7,3,0,0,-1,3,-1,-1,7,5
173,793,5,3,-1,0,6,7,4,-1,7,5
174,797,1,7,6,2,7,7,7,2,-1,-1
175,809,5,-1,3,0,6,7,0,2,7,5
176,836,-1,-1,0,3,6,7,6,2,1,-1
177,845,1,7,6,2,7,7,7,5,1,0
178,854,4,-1,0,2,-1,4,3,-1,2,-1
179,859,0,1,3,3,1,1,7,2,6,-1
180,866,5,3,-1,0,6,7,6,-1,7,-1
181,867,4,5,-1,2,-1,4,0,6,2,7
182,871,-1,3,0,0,6,7,-1,-1,-1,-1
183,874,0,7,2,5,3,5,3,2,1,0
184,880,3,1,3,-1,-1,1,1,0,0,-1
185,882,2,5,0,2,7,7,7,5,2,0
186,884,3,1,3,7,1,1,1,0,-1,-1
187,886,0,2,5,3,4,6,5,3,2,1
188,889,0,3,0,0,6,7,4,4,7,5
189,893,2,5,7,2,7,4,2,6,2,7
190,894,7,-1,-1,-1,-1,-1,4,2,7,5
191,908,-1,5,0,2,7,4,7,2,-1,7
192,909,3,1,-1,3,1,1,1,-1,6,1
193,921,2,5,-1,2,7,4,2,6,2,0
194,923,7,3,0,0,6,7,7,2,7,3
195,939,-1,-1,0,0,6,7,-1,2,7,5
196,954,4,2,4,4,5,-1,7,2,-1,-1
197,959,4,1,3,3,1,1,1,0,-1,-1
198,970,3,0,0,1,-1,2,0,7,-1,-1
199,977,0,-1,-1,5,5,5,3,0,1,0
200,985,0,-1,5,1,6,6,0,7,3,2
201,998,3,4,4,5,-1,-1,7,4,4,4
202,1067,-1,-1,-1,3,1,1,1,0,-1,1
203,1090,0,1,3,3,7,1,1,6,-1,-1
204,1164,-1,-1,1,7,-1,1,1,0,1,1
205,1204,0,0,3,7,4,0,5,2,1,-1
206,1209,0,2,5,3,-1,6,0,3,2,1
207,1238,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
208,1245,0,2,4,4,5,0,7,1,5,6
209,1260,0,4,4,5,2,-1,7,2,4,1
210,1323,0,2,4,4,6,0,7,1,5,6
211,1342,0,1,3,3,-1,1,-1,0,0,1
212,1362,0,2,4,4,5,0,7,2,5,6
213,1392,0,2,-1,4,5,0,7,-1,5,6
214,1414,0,7,0,5,3,5,-1,2,1,-1
215,1485,2,5,7,2,7,4,7,6,2,7
216,1492,0,2,5,3,4,6,5,3,2,1
