,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,3,male,Adult,1,0,Cheap,S
1,1,1,female,Adult,1,0,Medium,C
2,1,3,female,Adult,0,0,Cheap,S
3,1,1,female,Adult,1,0,Medium,S
4,0,3,male,Adult,0,0,Cheap,S
5,0,3,male,missing,0,0,Cheap,Q
6,0,1,male,Adult,0,0,Medium,S
7,0,3,male,Baby,3,1,Medium,S
8,1,3,female,Adult,0,2,Cheap,S
9,1,2,female,Child,1,0,Medium,C
10,1,3,female,Child,1,1,Cheap,S
11,1,1,female,Adult,0,0,Medium,S
12,0,3,male,Adult,0,0,Cheap,S
13,0,3,male,Adult,1,5,Medium,S
14,0,3,female,Child,0,0,Cheap,S
15,1,2,female,Adult,0,0,Cheap,S
16,0,3,male,Baby,4,1,Medium,Q
17,1,2,male,missing,0,0,Cheap,S
18,0,3,female,Adult,1,0,Cheap,S
19,1,3,female,missing,0,0,Cheap,C
20,0,2,male,Adult,0,0,Medium,S
21,1,2,male,Adult,0,0,Cheap,S
22,1,3,female,Child,0,0,Cheap,Q
23,1,1,male,Adult,0,0,Medium,S
24,0,3,female,Child,3,1,Medium,S
25,1,3,female,Adult,1,5,Medium,S
26,0,3,male,missing,0,0,Cheap,C
27,0,1,male,Adult,3,2,Pricey,S
28,1,3,female,missing,0,0,Cheap,Q
29,0,3,male,missing,0,0,Cheap,S
30,0,1,male,Adult,0,0,Medium,C
31,1,1,female,missing,1,0,Pricey,C
32,1,3,female,missing,0,0,Cheap,Q
33,0,2,male,Elderly,0,0,Cheap,S
34,0,1,male,Adult,1,0,Medium,C
35,0,1,male,Adult,1,0,Medium,S
36,1,3,male,missing,0,0,Cheap,C
37,0,3,male,Adult,0,0,Cheap,S
38,0,3,female,Adult,2,0,Cheap,S
39,1,3,female,Child,1,0,Cheap,C
40,0,3,female,Adult,1,0,Cheap,S
41,0,2,female,Adult,1,0,Medium,S
42,0,3,male,missing,0,0,Cheap,C
43,1,2,female,Child,1,2,Medium,C
44,1,3,female,Adult,0,0,Cheap,Q
45,0,3,male,missing,0,0,Cheap,S
46,0,3,male,missing,1,0,Cheap,Q
