Name,00-05,05-10,10-15,15-20,20-22,90-95,95-00
Patric Ljung,30.0,13.0,37.0,-1.0,-1.0,-1.0,-1.0
Steffen Koch 0001,-1.0,6.0,16.0,-1.0,25.0,-1.0,-1.0
Ming C. Hao,27.0,5.0,64.0,-1.0,-1.0,-1.0,19.0
Kai Lawonn,-1.0,-1.0,33.0,71.0,3.0,-1.0,-1.0
David Gotz,-1.0,24.0,2.0,16.0,-1.0,-1.0,-1.0
Cong Xie,-1.0,-1.0,24.0,37.0,1.0,-1.0,-1.0
Natalia V. Andrienko,-1.0,2.0,43.0,45.0,42.0,-1.0,-1.0
Tushar M. Athawale,-1.0,-1.0,7.0,43.0,10.0,-1.0,-1.0
Adam Perer,-1.0,0.0,2.0,21.0,-1.0,-1.0,-1.0
Ivan Viola,1.0,16.0,-1.0,24.0,-1.0,-1.0,-1.0
Nathalie Henry Riche,-1.0,42.0,2.0,14.0,-1.0,-1.0,-1.0
Wei Zeng 0004,-1.0,-1.0,9.0,5.0,9.0,-1.0,-1.0
Song Zhang 0004,22.0,4.0,71.0,-1.0,-1.0,-1.0,-1.0
Gordon L. Kindlmann,15.0,19.0,12.0,-1.0,-1.0,-1.0,1.0
Tarik Crnovrsanin,-1.0,10.0,38.0,7.0,32.0,-1.0,-1.0
Miriah D. Meyer,-1.0,3.0,6.0,0.0,-1.0,-1.0,-1.0
William J. Schroeder,18.0,-1.0,-1.0,-1.0,-1.0,1.0,42.0
Michael Correll,-1.0,-1.0,3.0,51.0,13.0,-1.0,-1.0
Georges G. Grinstein,40.0,31.0,-1.0,-1.0,-1.0,6.0,30.0
Jeffrey Heer,-1.0,1.0,2.0,51.0,-1.0,-1.0,-1.0
Jian Zhao 0010,-1.0,-1.0,2.0,50.0,32.0,-1.0,-1.0
Valerio Pascucci,32.0,-1.0,49.0,-1.0,-1.0,-1.0,6.0
Michael Gleicher,-1.0,45.0,3.0,51.0,-1.0,-1.0,-1.0
Alexandru C. Telea,3.0,-1.0,63.0,-1.0,-1.0,-1.0,0.0
Attila Gyulassy,-1.0,8.0,23.0,23.0,-1.0,-1.0,-1.0
Stephen G. Eick,28.0,-1.0,-1.0,-1.0,-1.0,8.0,39.0
Huamin Qu,17.0,18.0,-1.0,7.0,-1.0,-1.0,-1.0
Andrew J. Hanson,-1.0,55.0,-1.0,-1.0,-1.0,5.0,10.0
Gerik Scheuermann,5.0,19.0,-1.0,-1.0,-1.0,-1.0,16.0
Patricia Crossno,23.0,58.0,-1.0,-1.0,-1.0,-1.0,18.0
Peer-Timo Bremer,41.0,8.0,23.0,23.0,-1.0,-1.0,-1.0
Thomas Ertl,7.0,-1.0,-1.0,62.0,-1.0,-1.0,8.0
Kresimir Matkovic,1.0,21.0,29.0,76.0,-1.0,-1.0,-1.0
Ronald Peikert,14.0,47.0,-1.0,-1.0,-1.0,-1.0,2.0
Petra Isenberg,-1.0,0.0,2.0,58.0,-1.0,-1.0,-1.0
