Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Johanna Beyer,25.0,54.0,9.0,17.0,25.0,26.0,45.0,23.0,100.0,14.0,36.0
Pierre Dragicevic,0.0,26.0,2.0,3.0,8.0,24.0,64.0,30.0,52.0,63.0,100.0
Jian Zhao 0010,100.0,10.0,2.0,7.0,8.0,2.0,8.0,19.0,45.0,59.0,6.0
Peer-Timo Bremer,46.0,100.0,18.0,38.0,27.0,55.0,69.0,4.0,23.0,28.0,47.0
Shixia Liu,101.0,0.0,8.0,6.0,6.0,2.0,8.0,52.0,12.0,39.0,55.0
Miriah D. Meyer,18.0,52.0,0.0,0.0,7.0,17.0,22.0,49.0,101.0,0.0,26.0
Attila Gyulassy,46.0,68.0,18.0,38.0,27.0,18.0,2.0,35.0,23.0,28.0,47.0
Kwan-Liu Ma,48.0,22.0,14.0,35.0,62.0,100.0,12.0,41.0,58.0,7.0,6.0
Jo Wood,19.0,17.0,2.0,3.0,8.0,57.0,18.0,100.0,14.0,40.0,56.0
Holger Theisel,14.0,39.0,21.0,21.0,38.0,20.0,30.0,56.0,30.0,50.0,65.0
Yingcai Wu,2.0,46.0,59.0,6.0,6.0,2.0,8.0,101.0,7.0,34.0,4.0
Steven Mark Drucker,10.0,26.0,2.0,5.0,45.0,69.0,19.0,47.0,2.0,31.0,0.0
Natalia V. Andrienko,21.0,5.0,4.0,18.0,51.0,71.0,100.0,5.0,35.0,54.0,24.0
Jason Dykes,19.0,17.0,2.0,15.0,49.0,19.0,18.0,46.0,63.0,0.0,26.0
Aritra Dasgupta,6.0,7.0,3.0,65.0,22.0,14.0,20.0,6.0,37.0,26.0,45.0
Nathalie Henry Riche,0.0,9.0,2.0,19.0,52.0,72.0,8.0,1.0,6.0,33.0,51.0
Tim Dwyer,0.0,9.0,2.0,19.0,52.0,72.0,3.0,36.0,8.0,35.0,8.0
Gennady L. Andrienko,21.0,5.0,4.0,18.0,51.0,71.0,101.0,5.0,35.0,54.0,24.0
