Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Peter Lindstrom 0001,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,25.0,40.0,1.0,19.0,5.0,40.0,3.0,1.0,29.0,47.0,54.0,-1.0,22.0,46.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Gordon L. Kindlmann,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,23.0,0.0,18.0,1.0,18.0,41.0,9.0,48.0,20.0,20.0,13.0,51.0,64.0,20.0,14.0,36.0,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Han-Wei Shen,-1.0,2.0,3.0,2.0,4.0,6.0,34.0,-1.0,-1.0,-1.0,15.0,22.0,2.0,12.0,50.0,58.0,16.0,51.0,72.0,-1.0,22.0,53.0,21.0,10.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ming C. Hao,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,38.0,14.0,14.0,33.0,32.0,14.0,14.0,28.0,46.0,5.0,45.0,13.0,40.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Natalia V. Andrienko,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,5.0,2.0,21.0,5.0,4.0,18.0,51.0,71.0,-1.0,5.0,35.0,54.0,24.0,37.0,42.0
Jason Dykes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,10.0,12.0,19.0,17.0,2.0,15.0,49.0,19.0,18.0,46.0,63.0,0.0,26.0,38.0,-1.0
Tim Dwyer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,10.0,49.0,23.0,7.0,0.0,9.0,2.0,19.0,52.0,72.0,3.0,36.0,8.0,35.0,8.0,-1.0,-1.0
Torsten Möller,-1.0,-1.0,-1.0,-1.0,6.0,18.0,5.0,27.0,5.0,2.0,10.0,1.0,24.0,18.0,54.0,61.0,-1.0,7.0,49.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cláudio T. Silva,-1.0,0.0,1.0,0.0,24.0,3.0,13.0,33.0,1.0,19.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,50.0,63.0,-1.0,-1.0,-1.0,20.0,48.0,64.0,1.0,27.0,39.0,-1.0
Nathalie Henry Riche,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,3.0,22.0,43.0,0.0,9.0,2.0,19.0,52.0,72.0,8.0,1.0,6.0,33.0,51.0,-1.0,-1.0
