Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Johanna Beyer,25.0,54.0,9.0,17.0,25.0,26.0,45.0,23.0,100.0,14.0,36.0,45.0,100.0
Wei Chen 0001,100.0,37.0,54.0,71.0,28.0,56.0,70.0,100.0,20.0,7.0,13.0,30.0,0.0
Tarik Crnovrsanin,48.0,70.0,100.0,100.0,42.0,66.0,77.0,17.0,43.0,7.0,6.0,24.0,32.0
Pierre Dragicevic,0.0,26.0,2.0,3.0,8.0,24.0,64.0,30.0,52.0,63.0,100.0,100.0,101.0
Jian Zhao 0010,101.0,10.0,2.0,7.0,8.0,2.0,8.0,19.0,45.0,59.0,6.0,24.0,32.0
Peer-Timo Bremer,46.0,100.0,18.0,38.0,27.0,55.0,69.0,4.0,23.0,28.0,47.0,101.0,102.0
Julien Tierny,46.0,68.0,12.0,34.0,61.0,100.0,16.0,45.0,62.0,100.0,9.0,27.0,35.0
Shixia Liu,102.0,0.0,8.0,6.0,6.0,2.0,8.0,52.0,12.0,39.0,55.0,102.0,103.0
Miriah D. Meyer,18.0,52.0,0.0,0.0,7.0,17.0,22.0,49.0,101.0,0.0,26.0,38.0,104.0
John T. Stasko,0.0,9.0,2.0,39.0,63.0,101.0,100.0,3.0,2.0,31.0,101.0,6.0,16.0
Attila Gyulassy,46.0,68.0,18.0,38.0,27.0,18.0,2.0,35.0,23.0,28.0,47.0,54.0,105.0
Kwan-Liu Ma,48.0,22.0,14.0,35.0,62.0,102.0,12.0,41.0,58.0,7.0,6.0,24.0,106.0
Harish Doraiswamy,103.0,101.0,101.0,24.0,22.0,14.0,20.0,22.0,48.0,12.0,9.0,27.0,35.0
Jo Wood,19.0,17.0,2.0,3.0,8.0,57.0,18.0,101.0,14.0,40.0,56.0,103.0,107.0
Holger Theisel,14.0,39.0,21.0,21.0,38.0,20.0,30.0,56.0,30.0,50.0,65.0,104.0,108.0
Yingcai Wu,2.0,46.0,59.0,6.0,6.0,2.0,8.0,102.0,7.0,34.0,4.0,105.0,109.0
Steven Mark Drucker,10.0,26.0,2.0,5.0,45.0,69.0,19.0,47.0,2.0,31.0,0.0,106.0,110.0
Chris North 0001,57.0,76.0,13.0,26.0,21.0,32.0,50.0,73.0,102.0,101.0,20.0,34.0,39.0
Natalia V. Andrienko,21.0,5.0,4.0,18.0,51.0,71.0,101.0,5.0,35.0,54.0,24.0,37.0,42.0
R. Jordan Crouser,104.0,7.0,3.0,28.0,5.0,103.0,28.0,54.0,70.0,24.0,16.0,32.0,111.0
Jason Dykes,19.0,17.0,2.0,15.0,49.0,19.0,18.0,46.0,63.0,0.0,26.0,38.0,112.0
Aritra Dasgupta,6.0,7.0,3.0,65.0,22.0,14.0,20.0,6.0,37.0,26.0,45.0,52.0,113.0
Nathalie Henry Riche,0.0,9.0,2.0,19.0,52.0,72.0,8.0,1.0,6.0,33.0,51.0,107.0,114.0
Tim Dwyer,0.0,9.0,2.0,19.0,52.0,72.0,3.0,36.0,8.0,35.0,8.0,108.0,115.0
Gennady L. Andrienko,21.0,5.0,4.0,18.0,51.0,71.0,102.0,5.0,35.0,54.0,24.0,109.0,116.0
