Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Peter Lindstrom 0001,-1.0,1.0,10.0,2.0,-1.0,-1.0,0.0,12.0,22.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bongshin Lee,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,5.0,0.0,4.0,2.0,2.0,6.0,-1.0,-1.0,-1.0,2.0,0.0,13.0,9.0,-1.0
Miriah D. Meyer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,2.0,11.0,-1.0,0.0,0.0,5.0,-1.0,13.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0
Yingcai Wu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,1.0,21.0,22.0,5.0,4.0,0.0,6.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0
Pierre Dragicevic,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,9.0,0.0,14.0,2.0,2.0,6.0,12.0,33.0,12.0,21.0,-1.0,-1.0,-1.0,-1.0
Gordon L. Kindlmann,-1.0,0.0,-1.0,1.0,10.0,15.0,5.0,-1.0,11.0,13.0,9.0,-1.0,-1.0,-1.0,9.0,21.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bum Chul Kwon,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,8.0,25.0,-1.0,1.0,4.0,17.0,17.0,-1.0,-1.0,-1.0,-1.0
Han-Wei Shen,-1.0,-1.0,-1.0,-1.0,12.0,0.0,6.0,16.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,7.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ming C. Hao,-1.0,8.0,9.0,13.0,14.0,4.0,7.0,-1.0,-1.0,3.0,21.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Adam Perer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,0.0,20.0,8.0,20.0,-1.0,2.0,5.0,23.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jason Dykes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,12.0,10.0,2.0,12.0,-1.0,-1.0,10.0,20.0,23.0,-1.0,-1.0,-1.0,-1.0
